Name,NT,Full Time Phd,FRU,Annual_Expenditure_per_Student,Operational_Expenditure_per_Student,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
Indian Institute of Technology Bhubaneswar,1767,161,19.83,313764.5798755187,510182.49273858924,221021790.0,224858007.0,159058313.0,388758870.0,319646415.0,275226561.0
National Institute of Technology Durgapur,3581,354,14.65,89373.26175349428,629107.6119440915,91687349.0,127785470.0,132210966.0,934884299.0,927533406.0,613120748.0
Visvesvaraya National Institute of Technology,4157,440,14.73,101670.60648248858,632621.9995649337,242060778.0,167663000.0,57656000.0,1001940332.0,1048680000.0,857543000.0
Amity University,8640,253,11.38,7995.3232879793095,207950.68165973236,24881876.0,19951411.0,26269123.0,638204035.0,633122231.0,577979146.0
Siksha `O` Anusandhan,7500,576,14.15,161356.9711490837,383386.99096087174,500488072.0,435070510.0,367560317.0,1144935453.0,1041742757.0,909555129.0
Jamia Millia Islamia,1683,317,10.17,17119.565,521462.926,13073197.0,12358126.0,8807807.0,390536793.0,327684532.0,324704527.0
S.R.M. Institute of Science and Technology,23130,974,9.93,59288.812437769666,249857.48332227016,588788983.0,456335600.0,383972952.0,2294826388.0,2029285390.0,1698453000.0
Aligarh Muslim University,2077,274,13.58,34897.58613356019,936838.2671203744,23823373.0,43420372.0,14800480.0,979799080.0,592013374.0,630694312.0
Delhi Technological University,9478,526,10.65,64279.94642143143,337782.3117752899,249832074.0,192019132.0,201205378.0,1489317205.0,1032321226.0,857535816.0
Malaviya National Institute of Technology,4903,475,14.01,69911.96634436594,531768.7954629974,76428965.0,152821105.0,146736485.0,880042163.0,983087929.0,996722490.0
Shanmugha Arts Science Technology & Research Academy,8156,389,10.75,85405.51702750147,275983.26026916323,286946773.0,262347463.0,180495907.0,838852761.0,852063041.0,667361157.0
Kalinga Institute of Industrial Technology,14224,811,13.62,140762.24828732957,272405.25646824075,770530532.0,692218522.0,653611349.0,1579523627.0,1374916856.0,1141172548.0
