Name,NT,Full Time Phd,FRU,Annual_Expenditure_per_Student,Operational_Expenditure_per_Student,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
Dr. D. Y. Patil Institute of Technology,3624,55,6.43,14051.959771677086,178970.66104919816,19594883.0,16785853.0,15316424.0,248169747.0,221239273.0,189024042.0
Guru Nanak Dev University,2180,21,1.81,24423.336210813268,46329.86642435256,19947412.0,17538046.0,16270305.0,33200000.0,32761600.0,36010436.0
Sri Ramakrishna Engineering College,4356,14,5.93,8192.349885583524,165216.65011441646,10763357.0,14185571.0,10851641.0,238087912.0,244243437.0,239665412.0
KIET Group of Institutions,4695,5,7.09,22609.36170212766,190996.3829787234,41816000.0,34866000.0,29582000.0,334953000.0,291507000.0,271223000.0
Galgotias University,5606,33,6.01,10946.382159957438,154598.72902996987,28969479.0,16470211.0,16286959.0,372277541.0,280192712.0,219311980.0
Velagapudi Ramakrishna Siddhartha Engineering College,4902,0,5.9,23198.69400244798,186517.37984496125,49401880.0,31164017.0,33154101.0,305178092.0,322759861.0,286370243.0
Sharda University,3168,52,5.71,10573.856211180124,150579.4,19845405.0,2437361.0,11765051.0,200057173.0,147714624.0,137093871.0
KLE Technological University,5200,4,7.52,34130.60146041506,214577.92966948502,36805075.0,74698038.0,66112537.0,410280621.0,358842280.0,347540645.0
Shri G. S. Institute of Technology & Science,3706,85,0.21,25129.117910841465,329556.6214719071,35649580.0,48726537.0,10888369.0,483176580.0,423229375.0,342943197.0
North Eastern Regional Institute of Science & Technology,1843,97,15.69,38735.34639175258,893987.8010309278,42792072.0,28992209.0,3362291.0,596586188.0,605892750.0,531857396.0
St. Josephs College of Engineering,5532,11,4.43,5230.6777918094895,163585.6458596428,13490885.0,7411708.0,8091054.0,292468869.0,301290526.0,312995840.0
Lakshmi Narain College of Technology,4920,0,5.56,20170.719715447154,133386.33048780487,34092805.0,26818228.0,38328908.0,246235146.0,221290784.0,188734816.0
Centurion  University  of Technology and Management,2245,6,10.38,58187.07596623723,263342.4024877832,42516752.0,53214152.0,35248204.0,171949338.0,247630265.0,173204145.0
Rabindranath Tagore University,1554,206,3.48,13383.878409090908,77773.89204545454,9464118.0,10009552.0,4081956.0,47472900.0,48265850.0,41143300.0
National Institute of Technology Uttarakhand,1020,45,7.6,33533.777464788735,375332.34460093896,11443060.0,7557987.0,16712426.0,164360646.0,120598960.0,114769341.0
JSS Science and Technology University,4572,40,8.03,18310.39744145707,273226.48655680835,30707266.0,28375427.0,25364860.0,427725261.0,423734351.0,408660944.0
Easwari Engineering College,4320,9,6.13,14804.301455301455,119969.28898128898,25496618.0,24360465.0,14230738.0,193636716.0,174227369.0,151482967.0
International Institute of Information Technology Bhubaneswar,1250,8,9.45,51320.54292527822,163886.58982511924,6404660.0,7743883.0,50412700.0,67958642.0,63624201.0,74586487.0
National Engineering College,2696,15,5.71,14695.021763187016,174756.57690888972,17393644.0,10953566.0,11490994.0,150598836.0,161236173.0,161930071.0
Sona College of Technology,4680,47,5.92,14670.034694309286,135561.6809815951,24130758.0,23857207.0,21357289.0,218862514.0,211896468.0,210041084.0
C M R Institute of Technology,3936,7,8.39,51620.456251585085,147274.02383971596,74624871.0,67964405.0,60950183.0,218389334.0,188308427.0,174003715.0
G.L.Bajaj Institute of Technology and Management,4140,0,6.06,20879.57536231884,175479.3541062802,20977625.0,37671379.0,27792438.0,260707843.0,255274388.0,210502295.0
DIT University,3720,57,8.87,16977.01244373842,188900.0389197776,24515607.0,28613058.0,10993511.0,252635272.0,237717058.0,223123117.0
The National Institute of Engineering,3600,13,8.1,26931.512593412677,274835.9058953778,23446577.0,49366387.0,24490591.0,321761335.0,309951407.0,361269386.0
K. J. Somaiya College of Engineering,2616,23,10.09,28913.619173929517,388780.28116710874,18131096.0,27638187.0,30533758.0,350391536.0,339144759.0,336454867.0
Kakatiya Institute of Technology & Science,3950,0,6.53,22718.364556962024,216478.71949367088,39754782.0,25315256.0,24667502.0,296380357.0,281339597.0,277370988.0
Walchand College of Engineering,2040,40,8.76,59811.96490384615,369310.3639423077,46308681.0,41051783.0,37048423.0,276543328.0,247284482.0,244337747.0
Sri Venkateswara University,2395,161,7.96,133403.88810641627,242957.64436619717,10231638.0,31219379.0,299529321.0,189525936.0,177054192.0,254419611.0
