Name,Intake,Admitted,Graduated,Placed,Higher,GUE
National Institute of Technology Uttarakhand,1125,883,810,296,82,13.5
JSS Science and Technology University,3405,2835,2985,1779,358,14.53
Easwari Engineering College,3402,2911,2774,2487,191,13.91
International Institute of Information Technology Bhubaneswar,939,871,811,566,31,15.0
National Engineering College,2298,2032,1887,1147,141,14.1
Sona College of Technology,3690,2952,3036,2382,271,13.48
C M R Institute of Technology,3252,2756,2516,1879,99,12.65
G.L.Bajaj Institute of Technology and Management,3060,3021,2956,1737,52,15.0
DIT University,3870,3588,3399,1737,411,15.0
The National Institute of Engineering,2934,2763,2818,1799,144,15.0
K. J. Somaiya College of Engineering,2124,2056,2266,1500,349,15.0
Kakatiya Institute of Technology & Science,2835,2739,2812,1482,234,15.0
Walchand College of Engineering,1890,1924,1922,1159,106,15.0
Sri Venkateswara University,1830,1417,1309,394,177,12.26
