Name,Total Research,Total Consultancy,FPPP,S
"National Institute of Food Technology, Entrepreneurship & Management",75000000,4341874,1.53,0.067104685
Yeshwantrao Chavan College of Engineering,33148655,16376597,0.24,0.06580298375
Dr. Vishwanath Karad MIT World Peace University,116758285,17667144,0.48,0.13173657375
SVKM`s Narsee Monjee Institute of Management Studies,2775333,4517320,0.05,0.01337479975
BMS Institute of Technology & Management,5693243,852326,0.05,0.00640074725
Nirma University,27875879,15236684,0.21,0.05899861925
"Amity University, Gwalior",8405400,8093650,0.5,0.026538175
CVR College Of Engineering,23658352,2511700,0.12,0.024023014
"Government Engineering College, Thrissur",24511377,32604203,0.45,0.09989404025
"Jain University, Bangalore",94730920,98398427,0.76,0.3170442575
Maulana Abul Kalam Azad University of Technology,16399500,0,0.42,0.012299625
Institute of Aeronautical Engineering,73178201,44798011,0.58,0.16687867825
National Institute of Technology Arunachal Pradesh,64402142,423961,1.21,0.049361509
Indira Gandhi Delhi Technical University for Women,47769000,2219700,0.56,0.041376
Sant Longowal Institute of Engineering & Technology,22214882,267991,0.19,0.017331139
"Silicon Institute of Technology (SIT), Bhubaneswar",6010000,1570000,0.08,0.0084325
Kongu Engineering College,47128151,10930307,0.18,0.06267188075
Goka Raju Ranga Raju Institute of Engineering & Technology,21960059,27861500,0.21,0.08612379425
Annamalai University,41448739,27929097,0.32,0.10090929675
Rajiv Gandhi Institute of Petroleum Technology,22979410,6467736,0.89,0.0334038975
Nitte Meenakshi Institute of Technology,33527217,12082543,0.22,0.05535177025
Institute of Engineering & Management,5256500,21286880,0.19,0.057159575
R.M.K. Engineering College,24077968,11920822,0.25,0.047860531
Noida Institute of Engineering & Technology,33066277,25827362,0.24,0.08936811275
Hindustan Institute of Technology and Science (HITS),31102139,1156865,0.12,0.02621876675
Dr. D. Y. Patil Institute of Technology,15936945,3044000,0.12,0.01956270875
Guru Nanak Dev University,1500000,30300000,0.29,0.076875
Sri Ramakrishna Engineering College,35473951,13634277,0.25,0.06069115575
KIET Group of Institutions,67079267,5135056,0.34,0.06314709025
Galgotias University,13530000,24056720,0.15,0.0702893
Velagapudi Ramakrishna Siddhartha Engineering College,14996325,77518165,0.36,0.20504265625
Sharda University,16638738,332000,0.12,0.0133090535
KLE Technological University,41155000,10469096,0.22,0.05703899
Shri G. S. Institute of Technology & Science,93720992,46517996,0.78,0.186585734
North Eastern Regional Institute of Science & Technology,92099910,6321244,1.02,0.0848780425
