Name,Intake,Outside State,Outside Country,GUE
Shoolini University of Biotechnology and Management Sciences,919,357,27,13.63
Tezpur University,1812,471,6,15.0
Karunya Institute of Technology and Sciences,5029,2601,2,14.52
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,794,685,0,13.31
Dhirubhai Ambani Institute of Information and Communication Technology,1722,292,49,15.0
Guru Gobind Singh Indraprastha University,996,154,74,15.0
Sri Sairam Engineering College,4576,576,0,15.0
Rajalakshmi Engineering College,7020,1231,52,15.0
"Vignan's Foundation for Science, Technology and Research",6575,1653,45,15.0
B. S. Abdur Rahman Crescent Institute of Science and Technology,3151,443,1,12.92
Chitkara University,5245,3203,10,15.0
National Institute of Technology Manipur,670,340,0,12.49
National Institute of Foundry and Forge Technology (NIFFT),540,415,0,12.89
Veer Surendra Sai University of Technology,4340,101,0,15.0
Maharaja Sayajirao University of Baroda,4160,91,0,14.16
Manav Rachna International Institute of Research & Studies,1960,1092,17,15.0
Shri Ramdeobaba College of Engineering and Management,3664,630,41,15.0
Punjab Technical University,702,366,0,5.21
Saveetha Institute of Medical and Technical Sciences,5061,3766,1,15.0
Vishwakarma Institute of Technology,5014,623,181,15.0
University College of Engingeering,2208,300,37,15.0
Mepco Schlenk Engineering College,3638,27,0,13.74
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",2062,297,4,10.93
Dayalbagh Educational Institute,1182,325,0,15.0
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),2547,553,0,15.0
Government College of Technology,3104,29,0,14.04
Jaypee University of Information Technology,1673,1023,35,13.91
G. H. Raisoni College of Engineering,3803,339,19,15.0
PSG Institute of Technology and Applied Research,1270,55,3,15.0
Chaitanya Bharathi Institute of Technology,4624,341,51,15.0
SR University,3103,855,3,14.19
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,5244,241,28,14.44
The Rashtrasant Tukadoji Maharaj Nagpur University,698,47,0,14.81
Sri Krishna College of Technology,3591,382,0,15.0
NMAM Institute of Technology,4354,403,0,15.0
P E S College of Engineering,2914,638,0,15.0
Army Institute of Technology,1314,1284,0,15.0
New Horizon College of Engineering,5438,1660,218,15.0
Vardhaman College of Engineering,3895,235,8,14.89
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,1127,20,0,15.0
Pondicherry Engineering College,2460,378,0,12.73
National Institute of Technology Puducherry,877,569,67,15.0
Anurag University,5522,1551,0,15.0
Chandigarh Engineering College,5611,3911,0,15.0
"National Institute of Food Technology, Entrepreneurship & Management",761,660,0,15.0
Yeshwantrao Chavan College of Engineering,4596,265,1,13.69
Dr. Vishwanath Karad MIT World Peace University,5949,1151,129,14.37
SVKM`s Narsee Monjee Institute of Management Studies,3114,1224,6,14.4
BMS Institute of Technology & Management,3070,817,114,15.0
Nirma University,4610,550,83,15.0
"Amity University, Gwalior",573,103,0,15.0
CVR College Of Engineering,4979,1136,0,15.0
"Government Engineering College, Thrissur",2634,34,0,15.0
"Jain University, Bangalore",3926,2330,478,12.31
Maulana Abul Kalam Azad University of Technology,486,105,3,10.84
Institute of Aeronautical Engineering,4360,390,3,14.2
National Institute of Technology Arunachal Pradesh,625,377,1,9.87
Indira Gandhi Delhi Technical University for Women,1611,395,0,15.0
Sant Longowal Institute of Engineering & Technology,2335,1782,0,9.44
"Silicon Institute of Technology (SIT), Bhubaneswar",2153,1033,0,15.0
Kongu Engineering College,6772,51,0,12.49
Goka Raju Ranga Raju Institute of Engineering & Technology,5375,203,0,14.34
Annamalai University,2425,15,40,5.62
Rajiv Gandhi Institute of Petroleum Technology,428,319,0,9.42
Nitte Meenakshi Institute of Technology,4334,965,239,14.68
Institute of Engineering & Management,2992,1750,232,15.0
R.M.K. Engineering College,3100,715,0,15.0
Noida Institute of Engineering & Technology,4575,1605,0,15.0
Hindustan Institute of Technology and Science (HITS),4725,1207,20,11.88
Dr. D. Y. Patil Institute of Technology,3599,537,10,14.72
Guru Nanak Dev University,1751,344,5,14.42
Sri Ramakrishna Engineering College,4162,53,34,13.19
KIET Group of Institutions,4650,247,0,15.0
Galgotias University,4835,1928,88,15.0
Velagapudi Ramakrishna Siddhartha Engineering College,5158,63,0,14.7
Sharda University,2467,1333,421,10.98
KLE Technological University,5239,384,6,15.0
Shri G. S. Institute of Technology & Science,3446,146,43,13.01
North Eastern Regional Institute of Science & Technology,1116,826,0,7.96
St. Josephs College of Engineering,5214,110,20,13.29
Lakshmi Narain College of Technology,4491,2057,0,15.0
Centurion  University  of Technology and Management,2191,688,27,14.72
Rabindranath Tagore University,1453,1073,11,15.0
National Institute of Technology Uttarakhand,681,370,2,13.5
JSS Science and Technology University,4197,196,0,14.53
Easwari Engineering College,3518,21,0,13.91
International Institute of Information Technology Bhubaneswar,1249,583,10,15.0
National Engineering College,2589,7,0,14.1
Sona College of Technology,4132,82,63,13.48
C M R Institute of Technology,3741,865,79,12.65
G.L.Bajaj Institute of Technology and Management,3822,979,0,15.0
DIT University,3480,2045,30,15.0
The National Institute of Engineering,3600,402,0,15.0
K. J. Somaiya College of Engineering,2864,32,74,15.0
Kakatiya Institute of Technology & Science,4108,39,6,15.0
Walchand College of Engineering,2294,45,14,15.0
Sri Venkateswara University,1987,18,9,12.26
