Name,F2019,F2018,F2017,P2019,P2018,P2017,GPHD,Nphd,ratio,root,model
National Institute of Technology Puducherry,2,0,0,2,1,1,0.16,2,0.08,1.414213562,-0.357424408
"National Institute of Food Technology, Entrepreneurship & Management",13,5,0,0,0,0,1.34,18,0.074444444,4.242640687,1.630278775
Dr. Vishwanath Karad MIT World Peace University,2,1,1,0,0,0,0.32,4,0.08,2,0.0542424
SVKM`s Narsee Monjee Institute of Management Studies,9,5,5,0,0,0,1.41,19,0.074210526,4.358898944,1.711980334
Nirma University,1,0,2,10,20,11,0.24,3,0.08,1.732050808,-0.13406136
"Amity University, Gwalior",2,0,2,6,2,0,0.32,4,0.08,2,0.0542424
"Government Engineering College, Thrissur",7,3,4,4,2,0,1.06,14,0.075714286,3.741657387,1.278208152
"Jain University, Bangalore",50,40,33,0,0,0,6.56,123,0.053333333,11.09053651,6.442700563
Maulana Abul Kalam Azad University of Technology,9,13,11,8,0,0,2.32,33,0.07030303,5.744562647,2.68576825
National Institute of Technology Arunachal Pradesh,8,1,0,4,2,7,0.7,9,0.077777778,3,0.7570016
Indira Gandhi Delhi Technical University for Women,5,1,0,4,3,1,0.47,6,0.078333333,2.449489743,0.370125452
Sant Longowal Institute of Engineering & Technology,8,8,7,27,7,13,1.68,23,0.073043478,4.795831523,2.019038725
Kongu Engineering College,1,3,0,15,17,25,0.32,4,0.08,2,0.0542424
Annamalai University,33,29,25,43,37,83,5.11,87,0.058735632,9.327379053,5.203625441
Rajiv Gandhi Institute of Petroleum Technology,4,4,3,0,0,0,0.85,11,0.077272727,3.31662479,0.979512584
Nitte Meenakshi Institute of Technology,3,5,10,5,9,9,1.34,18,0.074444444,4.242640687,1.630278775
R.M.K. Engineering College,0,0,1,14,14,6,0.08,1,0.08,1,-0.6485168
Hindustan Institute of Technology and Science (HITS),3,9,5,24,30,18,1.28,17,0.075294118,4.123105626,1.546274411
Dr. D. Y. Patil Institute of Technology,18,7,2,0,0,0,1.94,27,0.071851852,5.196152423,2.30036792
Guru Nanak Dev University,0,4,2,0,1,1,0.47,6,0.078333333,2.449489743,0.370125452
Sri Ramakrishna Engineering College,2,2,3,12,14,9,0.55,7,0.078571429,2.645751311,0.508050075
KIET Group of Institutions,1,0,0,3,0,1,0.08,1,0.08,1,-0.6485168
Galgotias University,1,3,3,1,2,0,0.55,7,0.078571429,2.645751311,0.508050075
Sharda University,4,1,3,3,6,5,0.62,8,0.0775,2.828427125,0.636427183
Shri G. S. Institute of Technology & Science,10,1,1,2,0,0,0.92,12,0.076666667,3.464101615,1.08315328
North Eastern Regional Institute of Science & Technology,6,5,5,5,4,7,1.21,16,0.075625,4,1.4597608
St. Josephs College of Engineering,0,1,0,11,6,5,0.08,1,0.08,1,-0.6485168
Rabindranath Tagore University,21,11,44,0,0,0,4.61,76,0.060657895,8.717797887,4.775236669
National Institute of Technology Uttarakhand,2,0,0,2,0,0,0.16,2,0.08,1.414213562,-0.357424408
JSS Science and Technology University,7,6,10,38,34,27,1.68,23,0.073043478,4.795831523,2.019038725
Easwari Engineering College,0,0,1,11,9,3,0.08,1,0.08,1,-0.6485168
International Institute of Information Technology Bhubaneswar,8,2,0,1,1,0,0.77,10,0.077,3.16227766,0.871043719
National Engineering College,0,1,1,15,22,23,0.16,2,0.08,1.414213562,-0.357424408
Sona College of Technology,2,4,5,24,24,28,0.85,11,0.077272727,3.31662479,0.979512584
DIT University,6,12,3,4,5,5,1.55,21,0.073809524,4.582575695,1.869171229
The National Institute of Engineering,0,1,0,9,9,10,0.08,1,0.08,1,-0.6485168
K. J. Somaiya College of Engineering,3,0,0,0,0,0,0.24,3,0.08,1.732050808,-0.13406136
Walchand College of Engineering,3,0,0,7,5,1,0.24,3,0.08,1.732050808,-0.13406136
Sri Venkateswara University,11,13,4,12,23,25,2.01,28,0.071785714,5.291502622,2.36737615
