Name,F2019,F2018,F2017,P2019,P2018,P2017
BMS Institute of Technology & Management,0,0,0,3,1,0
Nirma University,1,0,2,10,20,11
"Amity University, Gwalior",2,0,2,6,2,0
CVR College Of Engineering,0,0,0,0,0,0
"Government Engineering College, Thrissur",7,3,4,4,2,0
"Jain University, Bangalore",50,40,33,0,0,0
Maulana Abul Kalam Azad University of Technology,9,13,11,8,0,0
Institute of Aeronautical Engineering,0,0,0,0,0,0
National Institute of Technology Arunachal Pradesh,8,1,0,4,2,7
Indira Gandhi Delhi Technical University for Women,5,1,0,4,3,1
Sant Longowal Institute of Engineering & Technology,8,8,7,27,7,13
"Silicon Institute of Technology (SIT), Bhubaneswar",0,0,0,0,0,0
Kongu Engineering College,1,3,0,15,17,25
Goka Raju Ranga Raju Institute of Engineering & Technology,0,0,0,0,0,0
Annamalai University,33,29,25,43,37,83
Rajiv Gandhi Institute of Petroleum Technology,4,4,3,0,0,0
Nitte Meenakshi Institute of Technology,3,5,10,5,9,9
Institute of Engineering & Management,0,0,0,0,0,0
R.M.K. Engineering College,0,0,1,14,14,6
Noida Institute of Engineering & Technology,0,0,0,0,0,0
Hindustan Institute of Technology and Science (HITS),3,9,5,24,30,18
Dr. D. Y. Patil Institute of Technology,18,7,2,0,0,0
Guru Nanak Dev University,0,4,2,0,1,1
Sri Ramakrishna Engineering College,2,2,3,12,14,9
KIET Group of Institutions,1,0,0,3,0,1
Galgotias University,1,3,3,1,2,0
Velagapudi Ramakrishna Siddhartha Engineering College,0,0,0,6,1,3
Sharda University,4,1,3,3,6,5
KLE Technological University,0,0,0,7,17,12
Shri G. S. Institute of Technology & Science,10,1,1,2,0,0
North Eastern Regional Institute of Science & Technology,6,5,5,5,4,7
St. Josephs College of Engineering,0,1,0,11,6,5
Lakshmi Narain College of Technology,0,0,0,0,0,0
Centurion  University  of Technology and Management,0,0,0,3,8,6
Rabindranath Tagore University,21,11,44,0,0,0
National Institute of Technology Uttarakhand,2,0,0,2,0,0
JSS Science and Technology University,7,6,10,38,34,27
Easwari Engineering College,0,0,1,11,9,3
International Institute of Information Technology Bhubaneswar,8,2,0,1,1,0
National Engineering College,0,1,1,15,22,23
Sona College of Technology,2,4,5,24,24,28
C M R Institute of Technology,0,0,0,5,2,1
G.L.Bajaj Institute of Technology and Management,0,0,0,0,0,0
DIT University,6,12,3,4,5,5
The National Institute of Engineering,0,1,0,9,9,10
K. J. Somaiya College of Engineering,3,0,0,0,0,0
Kakatiya Institute of Technology & Science,0,0,0,2,1,3
Walchand College of Engineering,3,0,0,7,5,1
Sri Venkateswara University,11,13,4,12,23,25
