Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
Tezpur University,9.5,18.68,12.27,9.13,14.45,16.21,2.0,1.6,14.77,15.0,10.12,1.62,6.75,14.01,1.14,20.0,7.45
Karunya Institute of Technology and Sciences,11.38,20.75,12.89,0.07,11.84,12.42,2.0,0.31,18.73,14.52,8.72,1.81,10.19,21.66,0.12,20.0,8.07
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,5.75,16.07,11.3,13.79,7.89,7.74,0.0,1.4,31.53,13.31,19.82,1.81,19.3,11.44,2.83,20.0,4.9
Dhirubhai Ambani Institute of Information and Communication Technology,8.16,20.39,11.81,9.76,5.46,5.23,0.0,0.4,36.24,15.0,19.16,1.28,4.99,20.35,3.47,20.0,6.19
Guru Gobind Singh Indraprastha University,7.56,16.91,10.36,6.47,18.14,14.77,0.0,0.04,18.82,15.0,13.47,0.4,5.9,20.44,0.31,18.0,16.36
Sri Sairam Engineering College,12.58,25.17,11.67,6.13,3.92,4.04,3.0,0.32,30.45,15.0,11.6,1.88,2.88,26.2,8.75,20.0,2.17
Rajalakshmi Engineering College,14.05,28.83,13.52,7.74,1.45,2.93,0.0,0.58,28.39,15.0,10.63,2.13,4.56,25.29,4.08,20.0,3.56
"Vignan's Foundation for Science, Technology and Research",13.55,25.75,12.66,5.79,6.27,7.36,2.0,0.21,21.64,15.0,11.52,1.06,5.68,26.8,3.78,20.0,1.46
B. S. Abdur Rahman Crescent Institute of Science and Technology,8.83,27.77,14.66,9.12,5.45,8.82,1.5,0.66,24.87,12.92,9.11,0.4,2.86,19.76,1.98,20.0,6.19
Chitkara University,13.82,20.73,10.28,8.75,2.08,2.95,8.0,0.35,26.09,15.0,11.15,0.32,14.89,22.16,1.05,20.0,11.02
National Institute of Technology Manipur,6.62,30.0,13.92,10.56,5.83,7.67,0.0,1.28,14.22,12.49,13.58,1.88,10.0,19.07,9.82,20.0,3.56
National Institute of Foundry and Forge Technology (NIFFT),4.43,29.64,17.22,15.78,0.75,2.68,0.0,0.29,27.63,12.89,11.78,1.41,14.52,8.22,2.42,20.0,5.55
Veer Surendra Sai University of Technology,13.72,19.62,10.96,9.16,9.91,12.06,0.0,0.19,17.23,15.0,10.87,3.19,0.53,23.4,3.16,20.0,6.83
Maharaja Sayajirao University of Baroda,14.0,23.89,11.66,6.93,4.06,7.49,2.0,1.23,25.68,14.16,9.48,3.14,0.56,22.93,6.63,20.0,4.23
Manav Rachna International Institute of Research & Studies,7.59,28.27,13.24,8.72,2.03,2.27,1.5,0.41,31.49,15.0,11.04,0.85,11.45,19.6,1.17,20.0,11.59
Shri Ramdeobaba College of Engineering and Management,10.5,27.47,13.39,8.35,3.57,2.34,2.0,0.07,31.8,15.0,10.93,0.0,4.75,25.32,0.79,20.0,2.87
Punjab Technical University,4.19,22.54,14.54,22.37,16.84,15.35,0.0,0.08,2.18,5.21,8.65,0.0,7.44,17.74,1.05,20.0,5.55
Saveetha Institute of Medical and Technical Sciences,13.29,22.23,12.38,7.9,6.75,7.35,4.5,1.22,13.65,15.0,10.5,0.32,18.05,20.43,6.57,20.0,0.0
Vishwakarma Institute of Technology,14.5,23.58,10.07,8.56,1.16,1.32,2.5,0.45,34.97,15.0,12.55,1.14,4.3,22.8,1.22,20.0,6.19
University College of Engingeering,8.38,30.0,13.3,7.8,0.71,2.0,0.0,0.47,30.88,15.0,10.98,1.06,3.72,26.86,5.67,20.0,4.23
Mepco Schlenk Engineering College,10.96,21.39,11.0,6.32,6.0,8.2,5.0,0.15,22.78,13.74,10.18,1.21,0.17,25.75,0.6,20.0,17.35
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",7.71,30.0,14.59,5.06,11.04,8.09,2.0,0.31,21.76,10.93,8.92,0.55,3.21,17.8,0.94,20.0,3.56
Dayalbagh Educational Institute,8.89,30.0,15.66,7.06,1.83,3.61,1.0,1.19,22.17,15.0,10.81,1.48,6.47,23.16,3.81,20.0,6.19
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),9.5,24.43,13.27,12.6,2.56,3.29,0.0,0.21,29.57,15.0,10.24,0.92,5.55,22.34,2.15,20.0,6.83
Government College of Technology,10.57,24.12,11.25,5.61,3.07,5.64,0.0,0.25,23.93,14.04,15.7,1.34,0.23,26.94,2.33,20.0,23.7
Jaypee University of Information Technology,7.63,18.32,11.67,9.52,8.24,10.77,2.0,0.27,26.41,13.91,11.24,3.68,12.0,13.71,0.3,20.0,3.56
G. H. Raisoni College of Engineering,10.05,24.47,10.68,7.29,2.53,2.09,4.0,0.24,35.81,15.0,10.12,0.0,2.33,23.39,2.96,20.0,9.87
PSG Institute of Technology and Applied Research,7.5,30.0,15.47,7.83,0.6,1.36,0.0,0.14,28.51,15.0,12.35,0.0,1.18,25.49,3.19,20.0,13.78
Chaitanya Bharathi Institute of Technology,12.0,26.67,12.63,9.06,1.1,1.01,0.0,0.1,30.62,15.0,11.13,0.0,2.23,26.5,2.85,20.0,10.45
SR University,10.4,30.0,15.19,6.92,1.82,3.5,1.0,0.18,17.47,14.19,10.08,0.0,7.01,29.4,6.13,20.0,8.07
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,13.5,27.84,13.25,7.3,2.59,3.86,0.0,0.38,26.03,14.44,10.49,0.0,1.34,26.29,0.0,20.0,4.9
The Rashtrasant Tukadoji Maharaj Nagpur University,6.32,24.1,12.56,6.67,11.89,10.83,0.0,0.37,21.94,14.81,12.15,0.08,1.67,20.42,5.56,15.0,0.74
Sri Krishna College of Technology,10.62,25.71,9.52,8.6,1.64,3.21,3.0,0.27,34.05,15.0,11.13,0.16,2.41,22.06,2.97,20.0,3.56
NMAM Institute of Technology,12.0,26.31,12.57,8.24,4.26,4.72,0.0,0.16,24.13,15.0,11.35,0.32,2.37,25.34,1.01,20.0,4.23
P E S College of Engineering,8.79,29.54,13.01,9.35,0.41,0.47,0.0,0.16,30.68,15.0,10.72,0.16,5.47,29.7,5.43,20.0,0.0
Army Institute of Technology,7.5,26.03,9.92,9.92,0.6,0.36,0.0,0.41,35.96,15.0,13.98,0.0,25.0,18.77,0.43,14.0,7.45
New Horizon College of Engineering,13.5,19.51,11.1,7.64,0.25,0.75,4.0,0.91,34.27,15.0,14.5,0.7,9.06,22.49,1.69,20.0,3.56
Vardhaman College of Engineering,10.5,24.83,12.14,5.6,2.81,2.98,2.0,0.2,30.66,14.89,10.26,0.0,1.61,24.81,2.22,20.0,15.35
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,8.5,21.7,9.38,9.29,4.87,3.32,3.0,0.05,33.82,15.0,14.52,0.4,0.45,24.13,2.12,20.0,2.17
Pondicherry Engineering College,9.68,20.08,11.25,9.18,7.14,6.23,0.0,1.27,28.07,12.73,11.72,3.88,3.36,23.17,0.0,8.0,14.83
National Institute of Technology Puducherry,6.78,23.31,13.89,8.37,0.71,3.09,0.0,0.62,25.0,15.0,13.76,0.16,18.29,22.25,8.03,20.0,6.83
Anurag University,13.5,25.17,10.64,6.47,1.19,1.33,0.0,0.1,27.81,15.0,10.06,0.0,7.19,29.08,4.01,20.0,14.31
Chandigarh Engineering College,13.5,26.87,13.07,0.07,0.29,0.35,4.0,0.06,19.56,15.0,11.52,0.0,17.83,25.59,2.76,20.0,0.0
"National Institute of Food Technology, Entrepreneurship & Management",6.19,18.41,11.5,16.61,0.99,3.1,0.0,1.53,27.93,15.0,12.89,1.34,19.21,23.33,0.87,20.0,0.74
Yeshwantrao Chavan College of Engineering,12.0,24.96,11.54,7.59,2.5,2.36,2.0,0.24,30.52,13.69,10.84,0.0,1.48,25.69,5.19,20.0,0.74
Dr. Vishwanath Karad MIT World Peace University,15.5,25.2,10.86,10.25,2.46,0.74,1.5,0.48,24.54,14.37,10.93,0.32,5.63,21.46,1.16,20.0,0.0
SVKM`s Narsee Monjee Institute of Management Studies,10.94,24.5,11.66,9.15,2.79,4.29,0.0,0.05,24.36,14.4,11.89,1.41,9.58,25.76,0.0,20.0,2.17
BMS Institute of Technology & Management,10.5,20.36,10.16,8.97,1.32,3.51,0.0,0.05,33.84,15.0,10.48,0.0,7.97,24.6,2.02,20.0,13.24
Nirma University,12.0,19.55,10.14,10.33,4.96,7.26,1.0,0.21,24.92,15.0,11.51,0.24,3.61,19.52,2.82,20.0,4.9
"Amity University, Gwalior",5.06,30.0,15.31,7.12,1.66,1.55,0.0,0.5,34.01,15.0,9.41,0.32,3.88,22.24,0.07,20.0,2.87
CVR College Of Engineering,13.12,27.39,12.19,6.09,0.92,1.45,1.0,0.12,28.8,15.0,10.95,0.0,5.67,24.29,2.21,20.0,1.46
