Name,NT,Full Time Phd,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
"Punjab Engineering College (Deemed to be University), Chandigarh",3376,165,190913331.0,188992600.0,74145641.0,619385241.0,602960807.0,357923724.0
Thiagarajar College of Engineering,3525,99,81189265.0,57514415.0,35891837.0,393943307.0,364365416.0,345689401.0
National Institute of Technology Patna,2878,274,75625524.0,66164105.0,91966677.0,522228921.0,523972710.0,439383736.0
Indian Institute of Information Technology Guwahati,693,31,33256101.0,25438251.0,19768009.0,93546866.0,68428803.0,53330099.0
College of Engineering (A),2854,103,638125145.0,493880721.0,465300838.0,436432092.0,424317894.0,389939215.0
Graphic Era University,3750,38,156605488.0,387644000.0,419411000.0,302899000.0,244635000.0,153704000.0
International Institute of Information Technology Bangalore,930,42,15561643.0,11076234.0,6758616.0,214131888.0,185313500.0,195542141.0
R.V. College of Engineering,4960,27,52976029.0,71362638.0,104407589.0,569838159.0,589614159.0,525206760.0
Sri Krishna College of Engineering and Technology,4596,11,65404162.0,53323182.0,41879609.0,388231380.0,318198823.0,208612586.0
Shri Mata Vaishno Devi University,1239,119,22142174.0,37052983.0,10367225.0,278911622.0,272562391.0,214027516.0
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",1464,149,33473890.0,52386889.0,15751324.0,155380408.0,137578259.0,136494949.0
Indian Institute of Food Processing Technology (IIFPT),331,51,72346693.0,32623000.0,6464000.0,138749110.0,125121000.0,91440000.0
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",2944,135,100839508.0,73486106.0,69747106.0,529201399.0,481971231.0,380895653.0
PES University,5808,32,53729256.0,46238778.0,40836575.0,395605655.0,341411747.0,298353293.0
Manipal University Jaipur,5114,46,44625304.0,29747812.0,26073167.0,379124533.0,350354727.0,311951606.0
National Institute of Technology Goa,680,71,38914168.0,15046835.0,21730813.0,114048451.0,106793697.0,89917867.0
